# ----------------------------------------
# Traffic acquisition: Session primary channel group (Default Channel Group)
# Account: MONFRERE
# Property: MONFRERE
# ----------------------------------------
# 
# All Users
# Start date: 20250101
# End date: 20251212
Session primary channel group (Default Channel Group),Week,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Organic Search,40,299,179,0.5986622073578596,39.31438127090301,12.879598662207357,3851,1,0.0033444816053511705,214.98
Referral,33,298,282,0.9463087248322147,4.741610738255034,4.62751677852349,1379,1,0.003355704697986577,89.55
Direct,05,297,281,0.9461279461279462,44.717171717171716,19.40740740740741,5764,10,0.03367003367003367,2806.55
Referral,17,297,281,0.9461279461279462,8.400673400673401,5.097643097643098,1514,0,0,0
Organic Search,18,295,281,0.9525423728813559,72.31525423728813,16.83050847457627,4965,18,0.061016949152542375,4898.64
Organic Search,06,294,274,0.9319727891156463,49.343537414965986,19.877551020408163,5844,4,0.013605442176870748,756.55
Organic Search,45,294,178,0.6054421768707483,69.34693877551021,18.078231292517007,5315,12,0.02040816326530612,3797.04
Organic Search,21,293,263,0.8976109215017065,60.593856655290104,15.498293515358363,4541,13,0.04436860068259386,5393.874957
Organic Search,47,292,207,0.708904109589041,64.33561643835617,17.493150684931507,5108,6,0.010273972602739725,1480.72
Referral,19,292,275,0.9417808219178082,12.04109589041096,5.3561643835616435,1564,0,0,0
Cross-network,07,291,273,0.9381443298969072,47.29553264604811,19.034364261168385,5539,6,0.020618556701030927,2259.22
Organic Search,49,291,244,0.8384879725085911,57.40549828178694,22.27147766323024,6481,1113,0.6941580756013745,7041.9
Organic Search,17,289,260,0.8996539792387543,53.45674740484429,13.384083044982699,3868,8,0.02768166089965398,1502.27
Organic Search,38,285,198,0.6947368421052632,57.150877192982456,16.098245614035086,4588,11,0.031578947368421054,5281.26
Organic Search,05,284,269,0.9471830985915493,45.690140845070424,18.62676056338028,5290,7,0.02464788732394366,3206.38
Organic Search,42,284,169,0.5950704225352113,56.57746478873239,12.348591549295774,3507,3,0.01056338028169014,603.84
Organic Search,16,280,264,0.9428571428571428,55.43928571428572,14.146428571428572,3961,8,0.02857142857142857,2474.25
Organic Search,43,280,196,0.7,53.59642857142857,14.028571428571428,3928,15,0.05357142857142857,3305.746247
Organic Search,44,280,194,0.6928571428571428,64.47142857142858,16.228571428571428,4544,3,0.007142857142857143,561.362514
Organic Search,11,279,261,0.9354838709677419,69.32616487455198,20.903225806451612,5832,12,0.043010752688172046,6787.77
Organic Search,23,279,262,0.9390681003584229,47.46594982078853,11.881720430107526,3315,6,0.021505376344086023,1129.92
Email,23,278,256,0.920863309352518,59.34172661870504,11.597122302158274,3224,15,0.0539568345323741,2255.28
Referral,48,278,63,0.22661870503597123,5.276978417266187,9.309352517985612,2588,0,0,0
Direct,01,270,259,0.9592592592592593,52.03333333333333,23.788888888888888,6423,16,0.05925925925925926,3554.2
Organic Search,15,270,253,0.937037037037037,48.492592592592594,14.540740740740741,3926,10,0.037037037037037035,2635.826447
Cross-network,30,269,254,0.9442379182156134,45.75092936802974,11.472118959107807,3086,6,0.022304832713754646,807.06
